_id,version,id,timestamp,stored,actor,verb,object,result,authority,context
61a88dd306908306477c421b,1.0.0,45a937d6-1d1d-4b8e-92bc-b4da33916c2f,2021-12-02T23:53:02.878Z,2021-12-02T09:11:47.226Z,"{""mbox"":""mailto:Breno@example.com"",""name"":""Breno"",""objectType"":""Agent""}","{""id"":""http://example.com/xapi/Log Out"",""display"":{""en-US"":""Log Out""}}","{""id"":""http://example.com/button_example"",""definition"":{""name"":{""en-US"":""Pilot2_bach65_statement14_id4""},""description"":{""en-US"":""Pilot2_bach65_statement14_id4""}},""objectType"":""Activity""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}",
61a8aa0f3fe64d06235e1aa8,1.0.0,41c99445-5358-4774-a175-401e960723d5,2021-12-02T23:49:02.878Z,2021-12-02T11:12:14.671Z,"{""mbox"":""mailto:Zaloa@example.com"",""name"":""Zaloa"",""objectType"":""Agent""}","{""id"":""http://example.com/xapi/Log Out"",""display"":{""en-US"":""Log Out""}}","{""id"":""http://example.com/button_example"",""definition"":{""name"":{""en-US"":""Pilot2_bach1_statement29_id4""},""description"":{""en-US"":""Pilot2_bach1_statement29_id4""}},""objectType"":""Activity""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}",
61a8a80406908306477c827b,1.0.0,c81140f4-1e25-469f-a8b3-9c2b9f1cb019,2021-12-02T23:48:02.878Z,2021-12-02T11:03:31.612Z,"{""mbox"":""mailto:ana@example.com"",""name"":""ana"",""objectType"":""Agent""}","{""id"":""http://example.com/xapi/Log Out"",""display"":{""en-US"":""Log Out""}}","{""id"":""http://example.com/button_example"",""definition"":{""name"":{""en-US"":""Pilot2_bach47_statement29_id5""},""description"":{""en-US"":""Pilot2_bach47_statement29_id5""}},""objectType"":""Activity""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}",
61a8d7c73fe64d06235e5ab8,1.0.0,8954b431-e463-4968-92ee-55ba96b7ffdc,2021-12-02T23:36:02.878Z,2021-12-02T14:27:18.428Z,"{""mbox"":""mailto:msn@example.com"",""name"":""msn"",""objectType"":""Agent""}","{""id"":""http://example.com/xapi/Log Out"",""display"":{""en-US"":""Log Out""}}","{""id"":""http://example.com/button_example"",""definition"":{""name"":{""en-US"":""Pilot2_bach51_statement49_id4""},""description"":{""en-US"":""Prueba 4 Pilot2_bach51_statement49_id4""}},""objectType"":""Activity""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}",
61a895643fe64d06235dec0c,1.0.0,b72065f9-b1c3-4418-a254-c195817cc649,2021-12-02T23:35:02.878Z,2021-12-02T09:44:04.493Z,"{""mbox"":""mailto:Junki@example.com"",""name"":""Junki"",""objectType"":""Agent""}","{""id"":""http://example.com/xapi/Log Out"",""display"":{""en-US"":""Log Out""}}","{""id"":""http://example.com/button_example"",""definition"":{""name"":{""en-US"":""Pilot2_bach125_statement14_id3""},""description"":{""en-US"":""Pilot2_bach125_statement14_id3""}},""objectType"":""Activity""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}",
61a8a6e33fe64d06235e14c1,1.0.0,aae0638f-c2fa-4382-aa48-5c67c8da4923,2021-12-02T23:35:02.878Z,2021-12-02T10:58:43.064Z,"{""mbox"":""mailto:AlvaroCabreroBarros@example.com"",""name"":""AlvaroCabreroBarros"",""objectType"":""Agent""}","{""id"":""http://example.com/xapi/Log Out"",""display"":{""en-US"":""Log Out""}}","{""id"":""http://example.com/button_example"",""definition"":{""name"":{""en-US"":""Pilot2_bach41_statement29_id2""},""description"":{""en-US"":""Pilot2_bach41_statement29_id2""}},""objectType"":""Activity""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}",
61a8a56906908306477c7dbd,1.0.0,82418599-61b1-40b0-89cf-0b0be8501a11,2021-12-02T23:30:02.878Z,2021-12-02T10:52:24.322Z,"{""mbox"":""mailto:Junki@example.com"",""name"":""Junki"",""objectType"":""Agent""}","{""id"":""http://example.com/xapi/Log Out"",""display"":{""en-US"":""Log Out""}}","{""id"":""http://example.com/button_example"",""definition"":{""name"":{""en-US"":""Pilot2_bach35_statement29_id3""},""description"":{""en-US"":""Pilot2_bach35_statement29_id3""}},""objectType"":""Activity""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}",
61a89b2106908306477c6707,1.0.0,12d29771-1dbe-4df0-be9c-26e129423259,2021-12-02T23:29:02.878Z,2021-12-02T10:08:32.856Z,"{""mbox"":""mailto:Gabilondo@example.com"",""name"":""Gabilondo"",""objectType"":""Agent""}","{""id"":""http://example.com/xapi/Log Out"",""display"":{""en-US"":""Log Out""}}","{""id"":""http://example.com/button_example"",""definition"":{""name"":{""en-US"":""Pilot2_bach3_statement29_id4""},""description"":{""en-US"":""Pilot2_bach3_statement29_id4""}},""objectType"":""Activity""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}",
61a8c37506908306477cad43,1.0.0,2c7ecf64-94f8-4fad-b925-ffb53379aacf,2021-12-02T23:28:02.878Z,2021-12-02T13:00:35.995Z,"{""mbox"":""mailto:Mauricio@example.com"",""name"":""Mauricio"",""objectType"":""Agent""}","{""id"":""http://example.com/xapi/Log Out"",""display"":{""en-US"":""Log Out""}}","{""id"":""http://example.com/button_example"",""definition"":{""name"":{""en-US"":""Pilot2_bach61_statement29_id5""},""description"":{""en-US"":""Pilot2_bach61_statement29_id5""}},""objectType"":""Activity""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}",
61a88b2206908306477c2dbb,1.0.0,83575e43-53c0-454e-933a-9b4d2cb069e5,2021-12-02T23:26:02.878Z,2021-12-02T09:00:18.434Z,"{""mbox"":""mailto:AlvaroCabreroBarros@example.com"",""name"":""AlvaroCabreroBarros"",""objectType"":""Agent""}","{""id"":""http://example.com/xapi/Log Out"",""display"":{""en-US"":""Log Out""}}","{""id"":""http://example.com/button_example"",""definition"":{""name"":{""en-US"":""Pilot2_bach5_statement14_id4""},""description"":{""en-US"":""Pilot2_bach5_statement14_id4""}},""objectType"":""Activity""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}",
